sourceTimeband,sourceValueDate,sourceAccount,sourceExternalReference,sourceBalance,wrkACCOUNT NAME,wrkCurrency,wrkTime,wrkCounterparty,Firm,Center,ParentExtRefNo,DealType,ExecType,ValueDate,Adjustment,Notes,ExtRefNo,RedefaultValues,Portfolio,runningBalance
15:40:00,19/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,26/06/2018,0,Commercial/LOAN/26-06-18/15:40,5180605154000573,N,5,3971.41
16:05:00,19/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,26/06/2018,0,Commercial/LOAN/26-06-18/16:05,6180605160500574,N,6,3971.41
16:30:00,19/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,26/06/2018,0,Commercial/LOAN/26-06-18/16:30,7180605163000575,N,7,3971.41
09:30:00,20/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/09:30,1180605093000576,N,1,3971.41
12:45:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/12:45,2180605124500577,N,2,3971.41
14:15:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/14:15,3180605141500578,N,3,3971.41
15:15:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/15:15,4180605151500579,N,4,3971.41
15:40:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/15:40,5180605154000580,N,5,3971.41
16:05:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/16:05,6180605160500581,N,6,3971.41
16:30:00,20/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,27/06/2018,0,Commercial/LOAN/27-06-18/16:30,7180605163000582,N,7,3971.41
09:30:00,21/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/09:30,1180605093000583,N,1,3971.41
12:45:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/12:45,2180605124500584,N,2,3971.41
14:15:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/14:15,3180605141500585,N,3,3971.41
15:15:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/15:15,4180605151500586,N,4,3971.41
15:40:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/15:40,5180605154000587,N,5,3971.41
16:05:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/16:05,6180605160500588,N,6,3971.41
16:30:00,21/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,28/06/2018,0,Commercial/LOAN/28-06-18/16:30,7180605163000589,N,7,3971.41
09:30:00,22/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/09:30,1180605093000590,N,1,3971.41
12:45:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/12:45,2180605124500591,N,2,3971.41
14:15:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/14:15,3180605141500592,N,3,3971.41
15:15:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/15:15,4180605151500593,N,4,3971.41
15:40:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/15:40,5180605154000594,N,5,3971.41
16:05:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/16:05,6180605160500595,N,6,3971.41
16:30:00,22/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,29/06/2018,0,Commercial/LOAN/29-06-18/16:30,7180605163000596,N,7,3971.41
09:30:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/09:30,1180605093000597,N,1,3971.41
12:45:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/12:45,2180605124500598,N,2,3971.41
14:15:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/14:15,3180605141500599,N,3,3971.41
15:15:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/15:15,4180605151500600,N,4,3971.41
15:40:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/15:40,5180605154000601,N,5,3971.41
16:05:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/16:05,6180605160500602,N,6,3971.41
16:30:00,25/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,04/07/2018,0,Commercial/LOAN/04-07-18/16:30,7180605163000603,N,7,3971.41
17:00 (prev),26/01/2010,Commercial,LOAN,10722.8,COMMERCIAL,GBP,17:00:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,6751.39,Commercial/LOAN/05-07-18/17:00,0180605170000604,N,0,10722.8
09:30:00,26/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,-6751.39,Commercial/LOAN/05-07-18/09:30,1180605093000605,N,1,3971.41
09:30:00,26/01/2010,Commercial,LOAN,10722.8,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,6751.39,Commercial/LOAN/05-07-18/09:30,1180605093000606,N,1,10722.8
12:45:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/12:45,2180605124500607,N,2,10722.8
12:45:00,26/01/2010,Commercial,LOAN,10722.8,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/12:45,2180605124500608,N,2,10722.8
14:15:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/14:15,3180605141500609,N,3,10722.8
14:15:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/14:15,3180605141500610,N,3,10722.8
15:15:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/15:15,4180605151500611,N,4,10722.8
15:15:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/15:15,4180605151500612,N,4,10722.8
15:40:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/15:40,5180605154000613,N,5,10722.8
15:40:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/15:40,5180605154000614,N,5,10722.8
16:05:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/16:05,6180605160500615,N,6,10722.8
16:05:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/16:05,6180605160500616,N,6,10722.8
16:30:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/16:30,7180605163000617,N,7,10722.8
16:30:00,26/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,05/07/2018,0,Commercial/LOAN/05-07-18/16:30,7180605163000618,N,7,10722.8
09:30:00,27/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,-6751.39,Commercial/LOAN/06-07-18/09:30,1180605093000619,N,1,3971.41
12:45:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/12:45,2180605124500620,N,2,3971.41
14:15:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/14:15,3180605141500621,N,3,3971.41
15:15:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/15:15,4180605151500622,N,4,3971.41
15:40:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/15:40,5180605154000623,N,5,3971.41
16:05:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/16:05,6180605160500624,N,6,3971.41
16:30:00,27/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,06/07/2018,0,Commercial/LOAN/06-07-18/16:30,7180605163000625,N,7,3971.41
09:30:00,28/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/09:30,1180605093000626,N,1,3971.41
12:45:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/12:45,2180605124500627,N,2,3971.41
14:15:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/14:15,3180605141500628,N,3,3971.41
15:15:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/15:15,4180605151500629,N,4,3971.41
15:40:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/15:40,5180605154000630,N,5,3971.41
16:05:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/16:05,6180605160500631,N,6,3971.41
16:30:00,28/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,09/07/2018,0,Commercial/LOAN/09-07-18/16:30,7180605163000632,N,7,3971.41
09:30:00,29/01/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/09:30,1180605093000633,N,1,3971.41
12:45:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/12:45,2180605124500634,N,2,3971.41
14:15:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/14:15,3180605141500635,N,3,3971.41
15:15:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/15:15,4180605151500636,N,4,3971.41
15:40:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/15:40,5180605154000637,N,5,3971.41
16:05:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/16:05,6180605160500638,N,6,3971.41
16:30:00,29/01/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,10/07/2018,0,Commercial/LOAN/10-07-18/16:30,7180605163000639,N,7,3971.41
09:30:00,01/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/09:30,1180605093000640,N,1,3971.41
12:45:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/12:45,2180605124500641,N,2,3971.41
14:15:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/14:15,3180605141500642,N,3,3971.41
15:15:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/15:15,4180605151500643,N,4,3971.41
15:40:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/15:40,5180605154000644,N,5,3971.41
16:05:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/16:05,6180605160500645,N,6,3971.41
16:30:00,01/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,13/07/2018,0,Commercial/LOAN/13-07-18/16:30,7180605163000646,N,7,3971.41
09:30:00,02/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/09:30,1180605093000647,N,1,3971.41
12:45:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/12:45,2180605124500648,N,2,3971.41
14:15:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/14:15,3180605141500649,N,3,3971.41
15:15:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/15:15,4180605151500650,N,4,3971.41
15:40:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/15:40,5180605154000651,N,5,3971.41
16:05:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/16:05,6180605160500652,N,6,3971.41
16:30:00,02/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,16/07/2018,0,Commercial/LOAN/16-07-18/16:30,7180605163000653,N,7,3971.41
09:30:00,03/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/09:30,1180605093000654,N,1,3971.41
12:45:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/12:45,2180605124500655,N,2,3971.41
14:15:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/14:15,3180605141500656,N,3,3971.41
15:15:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/15:15,4180605151500657,N,4,3971.41
15:40:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/15:40,5180605154000658,N,5,3971.41
16:05:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/16:05,6180605160500659,N,6,3971.41
16:30:00,03/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,17/07/2018,0,Commercial/LOAN/17-07-18/16:30,7180605163000660,N,7,3971.41
09:30:00,04/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/09:30,1180605093000661,N,1,3971.41
12:45:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/12:45,2180605124500662,N,2,3971.41
14:15:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/14:15,3180605141500663,N,3,3971.41
15:15:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/15:15,4180605151500664,N,4,3971.41
15:40:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/15:40,5180605154000665,N,5,3971.41
16:05:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/16:05,6180605160500666,N,6,3971.41
16:30:00,04/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,18/07/2018,0,Commercial/LOAN/18-07-18/16:30,7180605163000667,N,7,3971.41
09:30:00,05/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/09:30,1180605093000668,N,1,3971.41
12:45:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/12:45,2180605124500669,N,2,3971.41
14:15:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/14:15,3180605141500670,N,3,3971.41
15:15:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/15:15,4180605151500671,N,4,3971.41
15:40:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/15:40,5180605154000672,N,5,3971.41
16:05:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:05:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/16:05,6180605160500673,N,6,3971.41
16:30:00,05/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,16:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,19/07/2018,0,Commercial/LOAN/19-07-18/16:30,7180605163000674,N,7,3971.41
09:30:00,08/02/2010,Commercial,LOAN,3971.41,COMMERCIAL,GBP,09:30:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,24/07/2018,0,Commercial/LOAN/24-07-18/09:30,1180605093000675,N,1,3971.41
12:45:00,08/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,12:45:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,24/07/2018,0,Commercial/LOAN/24-07-18/12:45,2180605124500676,N,2,3971.41
14:15:00,08/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,14:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,24/07/2018,0,Commercial/LOAN/24-07-18/14:15,3180605141500677,N,3,3971.41
15:15:00,08/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:15:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,24/07/2018,0,Commercial/LOAN/24-07-18/15:15,4180605151500678,N,4,3971.41
15:40:00,08/02/2010,Commercial,LOAN,0,COMMERCIAL,GBP,15:40:00,COMM-OTH,COMM,OTH,COMMERCIAL/LOAN,Account Amendment,1,24/07/2018,0,Commercial/LOAN/24-07-18/15:40,5180605154000679,N,5,3971.41
