Transaction UUID,Status,OriginalAmount,OriginalCurrency,MerchantAmount,MerchantCurrency,CustomerAmount,CustomerCurrency,Operation,Reference No,Create Date
3638731-1458745702-216,DECLINED,17.12,EUR,17.12,EUR,58.07,TRY,3DAUTH,10-1458745673-8264-4667838,23/03/2016 15:08
3638680-1458745667-224,APPROVED,43.29,EUR,43.29,EUR,430.76,NOK,DIRECT,12-1458745667-5267-4663274,23/03/2016 15:07
3638677-1458745665-82,APPROVED,11.95,GBP,14.29,EUR,11.95,GBP,DIRECT,312145089,23/03/2016 15:07
3638674-1458745662-216,WAITING,31.12,EUR,31.12,EUR,105.56,TRY,3D,10-1458745662-0217-4667226,23/03/2016 15:07
3638671-1458745648-119,APPROVED,100,EUR,100,EUR,995.06,NOK,DIRECT,5-1458745648-0275-26043,23/03/2016 15:07
3638686-1458745674-219,APPROVED,50,EUR,50,EUR,50,EUR,3DAUTH,990-1458745644-1666-4667022,23/03/2016 15:07
3638689-1458745679-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458745639-0204-4667922,23/03/2016 15:07
3638662-1458745632-199,APPROVED,54.32,EUR,54.32,EUR,540.52,NOK,DIRECT,419-1458745631-973-1193804,23/03/2016 15:07
3638659-1458745629-145,APPROVED,40.21,EUR,40.21,EUR,400.12,NOK,DIRECT,73-1458745628-6507-175897,23/03/2016 15:07
3640714-1458747604-264,DECLINED,800,TRY,800,TRY,800,TRY,3DAUTH,49634037,23/03/2016 15:40
3638653-1458745624-224,APPROVED,36.47,EUR,36.47,EUR,4844.4,JPY,DIRECT,12-1458745624-4426-1744713,23/03/2016 15:07
3638650-1458745624-187,APPROVED,30,EUR,30,EUR,298.52,NOK,DIRECT,346-1458745623-5284-792584,23/03/2016 15:07
3638647-1458745618-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155922822,23/03/2016 15:06
3638638-1458745613-237,WAITING,1,EUR,1,EUR,1,EUR,3D,1691-1458745613-0185-4667918,23/03/2016 15:06
3638635-1458745612-145,APPROVED,63.56,EUR,63.56,EUR,632.46,NOK,DIRECT,73-1458745611-949-4605038,23/03/2016 15:06
3638770-1458745738-96,APPROVED,305,TRY,305,TRY,305,TRY,3DAUTH,WC-10616,23/03/2016 15:08
3638623-1458745598-82,DECLINED,25.95,USD,21.94,EUR,25.95,USD,DIRECT,312145003,23/03/2016 15:06
3638620-1458745597-199,DECLINED,65.18,EUR,65.18,EUR,648.58,NOK,DIRECT,424-1458745596-5494-4370920,23/03/2016 15:06
3638617-1458745595-82,DECLINED,11.95,GBP,14.29,EUR,11.95,GBP,DIRECT,312144987,23/03/2016 15:06
3638641-1458745614-200,APPROVED,56.08,EUR,56.08,EUR,558.03,NOK,3DAUTH,683-1458745588-5695-4667914,23/03/2016 15:06
3638632-1458745609-102,APPROVED,15.5,EUR,15.5,EUR,52.58,TRY,3DAUTH,743-1458745578-9015-4532876,23/03/2016 15:06
3638602-1458745572-125,APPROVED,50,EUR,50,EUR,497.53,NOK,DIRECT,133-1458745571-3694-245404,23/03/2016 15:06
3638644-1458745617-216,APPROVED,62.25,EUR,62.25,EUR,211.15,TRY,3DAUTH,10-1458745562-2784-4643743,23/03/2016 15:06
3638626-1458745602-107,APPROVED,10.53,EUR,10.53,EUR,35.76,TRY,3DAUTH,578-1458745551-1321-844556,23/03/2016 15:06
3638590-1458745548-187,APPROVED,52.89,EUR,52.89,EUR,526.29,NOK,DIRECT,346-1458745542-7891-4667910,23/03/2016 15:05
3638608-1458745587-56,APPROVED,64.27,EUR,64.27,EUR,218.22,TRY,3DAUTH,30101686,23/03/2016 15:06
3638584-1458745546-126,APPROVED,10.25,EUR,10.25,EUR,102,NOK,DIRECT,51-1458745545-9478-3891667,23/03/2016 15:05
3638581-1458745544-199,DECLINED,76.05,EUR,76.05,EUR,756.74,NOK,DIRECT,424-1458745543-9329-4370920,23/03/2016 15:05
3638569-1458745537-145,APPROVED,31.78,EUR,31.78,EUR,316.23,NOK,DIRECT,73-1458745537-149-4241785,23/03/2016 15:05
3638566-1458745528-119,APPROVED,25,EUR,25,EUR,248.77,NOK,DIRECT,5-1458745528-548-220941,23/03/2016 15:05
3638575-1458745541-150,APPROVED,93.15,EUR,93.15,EUR,316.28,TRY,3DAUTH,620-1458745524-7701-1229160,23/03/2016 15:05
3638557-1458745520-82,APPROVED,11.95,GBP,14.29,EUR,11.95,GBP,DIRECT,312144881,23/03/2016 15:05
3638554-1458745519-82,DECLINED,11.95,GBP,14.29,EUR,11.95,GBP,DIRECT,312144879,23/03/2016 15:05
3638593-1458745550-179,APPROVED,62.26,EUR,62.26,EUR,211.4,TRY,3DAUTH,572-1458745515-3083-4425166,23/03/2016 15:05
3638578-1458745543-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458745513-6899-4667906,23/03/2016 15:05
3638572-1458745541-56,DECLINED,8.03,EUR,8.03,EUR,27.27,TRY,3DAUTH,30101672,23/03/2016 15:05
3638539-1458745512-82,DECLINED,6.95,GBP,8.31,EUR,6.95,GBP,DIRECT,312144869,23/03/2016 15:05
3638536-1458745512-261,APPROVED,53.49,EUR,53.49,EUR,532.26,NOK,DIRECT,32-1458745511-7134-4563545,23/03/2016 15:05
3638533-1458745506-125,DECLINED,10,EUR,10,EUR,99.51,NOK,DIRECT,133-1458745505-7707-201134,23/03/2016 15:05
3638563-1458745526-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,91-1458745497-5082-2383647,23/03/2016 15:05
3638551-1458745518-216,DECLINED,15.56,EUR,15.56,EUR,52.84,TRY,3DAUTH,10-1458745485-9546-4667838,23/03/2016 15:05
3638506-1458745486-199,APPROVED,32.59,EUR,32.59,EUR,324.29,NOK,DIRECT,419-1458745485-5535-493139,23/03/2016 15:04
3638503-1458745485-125,APPROVED,130,EUR,130,EUR,1293.58,NOK,DIRECT,133-1458745484-2526-4664598,23/03/2016 15:04
3638527-1458745502-179,APPROVED,26.46,EUR,26.46,EUR,89.84,TRY,3DAUTH,572-1458745478-7164-4573010,23/03/2016 15:05
3638518-1458745495-216,APPROVED,46.69,EUR,46.69,EUR,158.53,TRY,3DAUTH,10-1458745475-3044-50775,23/03/2016 15:04
3638611-1458745588-289,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,155922562,23/03/2016 15:06
3638491-1458745460-199,DECLINED,103.21,EUR,103.21,EUR,1027,NOK,DIRECT,419-1458745460-0737-4386289,23/03/2016 15:04
3638512-1458745489-216,DECLINED,15.56,EUR,15.56,EUR,52.84,TRY,3DAUTH,10-1458745459-6943-4427419,23/03/2016 15:04
3638515-1458745489-216,APPROVED,14.63,EUR,14.63,EUR,49.68,TRY,3DAUTH,10-1458745459-7319-4573685,23/03/2016 15:04
3638524-1458745498-216,APPROVED,14.01,EUR,14.01,EUR,47.57,TRY,3DAUTH,10-1458745444-8949-4121392,23/03/2016 15:04
3638470-1458745434-82,DECLINED,11.95,GBP,14.29,EUR,11.95,GBP,DIRECT,312144779,23/03/2016 15:03
3638473-1458745441-264,DECLINED,50,TRY,15.55,EUR,18.35,USD,3DAUTH,49633349,23/03/2016 15:04
3638464-1458745430-200,APPROVED,30,EUR,30,EUR,298.52,NOK,DIRECT,239-1458745430-0549-1739964,23/03/2016 15:03
3638461-1458745429-56,WAITING,8.03,EUR,8.03,EUR,27.27,TRY,3D,30101650,23/03/2016 15:03
3638458-1458745427-119,APPROVED,10,EUR,10,EUR,10,EUR,DIRECT,15-1458745427-3927-4499201,23/03/2016 15:03
3638479-1458745451-219,APPROVED,20,EUR,20,EUR,20,EUR,3DAUTH,990-1458745422-8155-4262989,23/03/2016 15:04
3638443-1458745404-216,WAITING,10.89,EUR,10.89,EUR,36.98,TRY,3D,10-1458745403-8138-4663958,23/03/2016 15:03
3638440-1458745403-224,APPROVED,221.19,EUR,221.19,EUR,29426.13,JPY,DIRECT,12-1458745397-6544-1646094,23/03/2016 15:03
3638452-1458745419-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,13-1458745400-1343-2092536,23/03/2016 15:03
3638434-1458745396-98,APPROVED,1,EUR,1,EUR,1,EUR,DIRECT,1399-1458745391-2934-4667902,23/03/2016 15:03
3638431-1458745393-224,APPROVED,27.36,EUR,27.36,EUR,3639.86,JPY,DIRECT,12-1458745393-1743-3302711,23/03/2016 15:03
3638446-1458745409-216,APPROVED,62.25,EUR,62.25,EUR,211.36,TRY,3DAUTH,10-1458745386-9964-49247,23/03/2016 15:03
3638425-1458745384-224,APPROVED,9.12,EUR,9.12,EUR,1213.29,JPY,DIRECT,12-1458745384-1739-3719651,23/03/2016 15:03
3638422-1458745381-224,APPROVED,15.15,EUR,15.15,EUR,150.82,NOK,DIRECT,12-1458745381-1893-4620111,23/03/2016 15:03
3638413-1458745373-224,APPROVED,91.19,EUR,91.19,EUR,12127.66,JPY,DIRECT,12-1458745369-5444-4667898,23/03/2016 15:02
3638482-1458745459-216,APPROVED,31.12,EUR,31.12,EUR,105.67,TRY,3DAUTH,10-1458745368-2832-1142420,23/03/2016 15:04
3638407-1458745367-126,APPROVED,17.43,EUR,17.43,EUR,173.51,NOK,DIRECT,48-1458745367-0353-4539290,23/03/2016 15:02
3638404-1458745364-211,WAITING,29.45,EUR,29.45,EUR,100,TRY,3D,1292-1458745358-8455-4667894,23/03/2016 15:02
3638401-1458745361-82,APPROVED,11.95,GBP,14.3,EUR,11.95,GBP,DIRECT,312144699,23/03/2016 15:02
3638398-1458745353-145,APPROVED,21.18,EUR,21.18,EUR,210.84,NOK,DIRECT,73-1458745353-0134-3932332,23/03/2016 15:02
3638392-1458745350-187,APPROVED,10.58,EUR,10.58,EUR,105.32,NOK,DIRECT,346-1458745350-0647-1118828,23/03/2016 15:02
3638389-1458745350-82,DECLINED,11.95,GBP,14.3,EUR,11.95,GBP,DIRECT,312144687,23/03/2016 15:02
3638416-1458745373-107,APPROVED,11.46,EUR,11.46,EUR,38.92,TRY,3DAUTH,578-1458745346-327-1165457,23/03/2016 15:02
3638383-1458745345-238,APPROVED,2,EUR,2,EUR,2,EUR,DIRECT,1191-1458745344-8198-4667890,23/03/2016 15:02
3638380-1458745344-119,APPROVED,25,EUR,25,EUR,25,EUR,DIRECT,93-1458745343-8978-3520307,23/03/2016 15:02
3638374-1458745341-82,DECLINED,11.95,GBP,14.3,EUR,11.95,GBP,DIRECT,312144679,23/03/2016 15:02
3638419-1458745375-102,DECLINED,9.3,EUR,9.3,EUR,31.58,TRY,3DAUTH,743-1458745336-9265-4667854,23/03/2016 15:02
3638368-1458745334-187,DECLINED,10.58,EUR,10.58,EUR,105.32,NOK,DIRECT,346-1458745329-1253-4667886,23/03/2016 15:02
3638365-1458745328-241,APPROVED,19.99,EUR,19.99,EUR,19.99,EUR,DIRECT,1307-1458745324-6181-4667882,23/03/2016 15:02
3638356-1458745323-216,WAITING,31.12,EUR,31.12,EUR,105.67,TRY,3D,10-1458745322-9349-313029,23/03/2016 15:02
3638353-1458745322-261,APPROVED,11.77,EUR,11.77,EUR,117.17,NOK,DIRECT,32-1458745322-3777-4647299,23/03/2016 15:02
3638350-1458745322-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155922342,23/03/2016 15:02
3638347-1458745320-76,DECLINED,0.01,USD,0,EUR,0.01,USD,STORED,309796738,23/03/2016 15:02
3638344-1458745320-199,APPROVED,10.86,EUR,10.86,EUR,108.11,NOK,DIRECT,424-1458745319-3727-4521119,23/03/2016 15:02
3638341-1458745317-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155922312,23/03/2016 15:01
3638338-1458745317-187,APPROVED,10.58,EUR,10.58,EUR,105.32,NOK,DIRECT,346-1458745316-776-4638091,23/03/2016 15:01
3638335-1458745315-171,DECLINED,30,EUR,30,EUR,298.64,NOK,DIRECT,34-1458745314-981-4667878,23/03/2016 15:01
3638377-1458745343-216,APPROVED,45.13,EUR,45.13,EUR,153.24,TRY,3DAUTH,10-1458745307-9548-4339717,23/03/2016 15:02
3638326-1458745305-199,APPROVED,43.46,EUR,43.46,EUR,432.63,NOK,DIRECT,419-1458745304-7565-4639303,23/03/2016 15:01
3638320-1458745301-145,APPROVED,239.21,EUR,239.21,EUR,369.24,CAD,DIRECT,73-1458745300-9604-729725,23/03/2016 15:01
3638449-1458745416-289,APPROVED,300,TRY,300,TRY,300,TRY,3DAUTH,155922262,23/03/2016 15:03
3638359-1458745323-56,APPROVED,46.58,EUR,46.58,EUR,158.16,TRY,3DAUTH,30101595,23/03/2016 15:02
3638395-1458745352-56,DECLINED,8.03,EUR,8.03,EUR,27.27,TRY,3DAUTH,30101593,23/03/2016 15:02
3638305-1458745288-171,WAITING,13.62,EUR,13.62,EUR,21.03,CAD,3D,1513-1458745288-2285-4664482,23/03/2016 15:01
3638302-1458745283-187,APPROVED,126.94,EUR,126.94,EUR,1263.64,NOK,DIRECT,346-1458745282-8995-769199,23/03/2016 15:01
3638323-1458745302-145,APPROVED,10.25,EUR,10.25,EUR,15.83,CAD,3DAUTH,73-1458745282-9367-1585404,23/03/2016 15:01
3638296-1458745279-119,APPROVED,100,EUR,100,EUR,995.46,NOK,DIRECT,21-1458745279-0994-1221746,23/03/2016 15:01
3638311-1458745293-216,APPROVED,12.45,EUR,12.45,EUR,42.28,TRY,3DAUTH,10-1458745274-1169-4399045,23/03/2016 15:01
3638290-1458745273-199,APPROVED,16.3,EUR,16.3,EUR,162.26,NOK,DIRECT,419-1458745272-4116-638288,23/03/2016 15:01
3638287-1458745269-82,APPROVED,50.5,USD,42.63,EUR,50.5,USD,DIRECT,312144585,23/03/2016 15:01
3638362-1458745327-56,APPROVED,96.41,EUR,96.41,EUR,327.35,TRY,3DAUTH,30101586,23/03/2016 15:02
3638281-1458745252-171,DECLINED,120,EUR,120,EUR,1194.55,NOK,DIRECT,34-1458745252-185-4667878,23/03/2016 15:00
3638278-1458745252-187,APPROVED,12.69,EUR,12.69,EUR,126.33,NOK,DIRECT,346-1458745246-1096-4667874,23/03/2016 15:00
3638272-1458745249-216,WAITING,31.12,EUR,31.12,EUR,105.67,TRY,3D,10-1458745248-7874-313029,23/03/2016 15:00
3638266-1458745240-199,APPROVED,32.59,EUR,32.59,EUR,324.42,NOK,DIRECT,419-1458745239-943-493139,23/03/2016 15:00
3638263-1458745234-126,APPROVED,10.25,EUR,10.25,EUR,102.04,NOK,DIRECT,51-1458745233-8376-3891667,23/03/2016 15:00
3638269-1458745246-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,101-1458745224-1407-909431,23/03/2016 15:00
3638251-1458745222-199,APPROVED,54.32,EUR,54.32,EUR,540.74,NOK,DIRECT,420-1458745221-926-959239,23/03/2016 15:00
3638245-1458745220-224,APPROVED,22.79,EUR,22.79,EUR,3030.92,JPY,DIRECT,12-1458745219-7186-3880573,23/03/2016 15:00
3638275-1458745250-216,APPROVED,46.69,EUR,46.69,EUR,158.53,TRY,3DAUTH,10-1458745215-0566-302450,23/03/2016 15:00
3638239-1458745213-56,WAITING,9.63,EUR,9.63,EUR,32.7,TRY,3D,30101566,23/03/2016 15:00
3638236-1458745211-199,APPROVED,20.64,EUR,20.64,EUR,205.47,NOK,DIRECT,419-1458745210-5591-2006085,23/03/2016 15:00
3638257-1458745226-216,APPROVED,10.89,EUR,10.89,EUR,36.98,TRY,3DAUTH,10-1458745203-5605-4392052,23/03/2016 15:00
3638332-1458745310-289,WAITING,5300,TRY,5300,TRY,5300,TRY,3DAUTH,155922082,23/03/2016 15:01
3638233-1458745208-107,APPROVED,250,EUR,250,EUR,846.96,TRY,3DAUTH,578-1458745187-618-1365714,23/03/2016 15:00
3638248-1458745220-216,APPROVED,24.9,EUR,24.9,EUR,84.36,TRY,3DAUTH,10-1458745186-1212-4404499,23/03/2016 15:00
3638200-1458745178-171,WAITING,17.02,EUR,17.02,EUR,26.28,CAD,3D,1513-1458745177-7599-4664482,23/03/2016 14:59
3638194-1458745172-224,APPROVED,13.68,EUR,13.68,EUR,1819.96,JPY,DIRECT,12-1458745172-0881-3550862,23/03/2016 14:59
3638191-1458745169-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155921992,23/03/2016 14:59
3638215-1458745188-56,APPROVED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30101558,23/03/2016 14:59
3638218-1458745202-216,DECLINED,18.67,EUR,18.67,EUR,63.26,TRY,3DAUTH,10-1458745160-1803-4667838,23/03/2016 15:00
3638260-1458745227-101,APPROVED,24.84,EUR,24.84,EUR,84.16,TRY,3DAUTH,228-1458745154-0413-4351249,23/03/2016 15:00
3638170-1458745145-145,APPROVED,21.18,EUR,21.18,EUR,210.76,NOK,DIRECT,73-1458745144-6511-651677,23/03/2016 14:59
3638185-1458745163-101,DECLINED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,99-1458745142-31-4631975,23/03/2016 14:59
3638230-1458745207-101,DECLINED,9.63,EUR,9.63,EUR,32.63,TRY,3DAUTH,99-1458745139-2433-4317229,23/03/2016 15:00
3638161-1458745137-224,APPROVED,10.82,EUR,10.82,EUR,107.67,NOK,DIRECT,12-1458745137-3589-1626960,23/03/2016 14:58
3638203-1458745183-179,APPROVED,28.02,EUR,28.02,EUR,94.93,TRY,3DAUTH,573-1458745133-7812-4384558,23/03/2016 14:59
3638227-1458745205-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458745132-5108-4667870,23/03/2016 15:00
3638146-1458745127-199,APPROVED,36.07,EUR,36.07,EUR,358.92,NOK,DIRECT,419-1458745126-5135-1425933,23/03/2016 14:58
3638140-1458745119-216,WAITING,10.89,EUR,10.89,EUR,36.9,TRY,3D,10-1458745118-9836-4020427,23/03/2016 14:58
3638155-1458745133-216,DECLINED,10.89,EUR,10.89,EUR,36.9,TRY,3DAUTH,10-1458745110-3217-4399045,23/03/2016 14:58
3638149-1458745129-203,APPROVED,15.5,EUR,15.5,EUR,52.52,TRY,3DAUTH,1477-1458745105-6536-4667866,23/03/2016 14:58
3638128-1458745099-171,DECLINED,30,EUR,30,EUR,298.52,NOK,DIRECT,34-1458745098-6069-1914912,23/03/2016 14:58
3638119-1458745086-216,WAITING,10.89,EUR,10.89,EUR,36.9,TRY,3D,10-1458745085-5947-4399045,23/03/2016 14:58
3638209-1458745187-56,DECLINED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30101534,23/03/2016 14:59
3638131-1458745105-216,APPROVED,46.69,EUR,46.69,EUR,158.18,TRY,3DAUTH,10-1458745083-2972-4484831,23/03/2016 14:58
3638110-1458745082-289,WAITING,300,TRY,300,TRY,300,TRY,3D,155921862,23/03/2016 14:58
3638104-1458745081-224,APPROVED,9.12,EUR,9.12,EUR,1213.31,JPY,DIRECT,12-1458745081-1667-3661568,23/03/2016 14:58
3638101-1458745080-199,APPROVED,54.32,EUR,54.32,EUR,540.52,NOK,DIRECT,420-1458745080-0605-959239,23/03/2016 14:58
3638098-1458745073-199,APPROVED,10.86,EUR,10.86,EUR,108.07,NOK,DIRECT,419-1458745072-9819-1038088,23/03/2016 14:57
3638095-1458745067-119,DECLINED,25,EUR,25,EUR,248.77,NOK,DIRECT,7-1458745066-9055-3991279,23/03/2016 14:57
3638122-1458745086-56,DECLINED,8.03,EUR,8.03,EUR,27.21,TRY,3DAUTH,30101533,23/03/2016 14:58
3638125-1458745098-216,APPROVED,31.12,EUR,31.12,EUR,105.43,TRY,3DAUTH,10-1458745063-6148-4495,23/03/2016 14:58
3638143-1458745126-164,APPROVED,200,EUR,200,EUR,200,EUR,3DAUTH,219-1458745063-6075-282151,23/03/2016 14:58
3638107-1458745082-216,DECLINED,12.45,EUR,12.45,EUR,42.18,TRY,3DAUTH,10-1458745061-6721-3947509,23/03/2016 14:58
3638071-1458745056-187,APPROVED,42.31,EUR,42.31,EUR,421.01,NOK,DIRECT,346-1458745053-7046-733037,23/03/2016 14:57
3638068-1458745053-199,APPROVED,10.25,EUR,10.25,EUR,102,NOK,DIRECT,419-1458745052-3782-516435,23/03/2016 14:57
3638065-1458745050-224,DECLINED,5.04,EUR,5.04,EUR,21.65,BRL,DIRECT,12-1458745050-3448-4628167,23/03/2016 14:57
3638083-1458745064-264,APPROVED,28,TRY,8.71,EUR,29.54,TRY,3DAUTH,49631635,23/03/2016 14:57
3638059-1458745044-224,APPROVED,9.12,EUR,9.12,EUR,1213.31,JPY,DIRECT,12-1458745043-7303-2607075,23/03/2016 14:57
3638086-1458745065-216,DECLINED,18.67,EUR,18.67,EUR,63.26,TRY,3DAUTH,10-1458745042-3614-4667838,23/03/2016 14:57
3638089-1458745065-119,APPROVED,25,EUR,25,EUR,248.77,NOK,3DAUTH,20-1458745040-4399-211223,23/03/2016 14:57
3638047-1458745034-119,APPROVED,50,EUR,50,EUR,497.53,NOK,DIRECT,5-1458745033-695-467496,23/03/2016 14:57
3638038-1458745028-216,WAITING,10.89,EUR,10.89,EUR,36.9,TRY,3D,10-1458745027-9962-4399045,23/03/2016 14:57
3638035-1458745027-98,APPROVED,1,EUR,1,EUR,1,EUR,DIRECT,1399-1458745022-1638-4667862,23/03/2016 14:57
3638197-1458745177-289,WAITING,5500,TRY,5500,TRY,5500,TRY,3DAUTH,155921672,23/03/2016 14:59
3638041-1458745029-289,WAITING,300,TRY,300,TRY,300,TRY,3DAUTH,155921612,23/03/2016 14:57
3638056-1458745043-101,APPROVED,159.13,EUR,159.13,EUR,539.11,TRY,3DAUTH,99-1458745008-3355-4303411,23/03/2016 14:57
3638014-1458745003-107,WAITING,10.84,EUR,10.84,EUR,36.73,TRY,3D,578-1458744997-6641-4667858,23/03/2016 14:56
3638176-1458745158-107,DECLINED,10.53,EUR,10.53,EUR,35.68,TRY,3DAUTH,578-1458744991-5862-693467,23/03/2016 14:59
3638026-1458745008-56,APPROVED,46.57,EUR,46.57,EUR,157.78,TRY,3DAUTH,30101518,23/03/2016 14:56
3637999-1458744985-82,DECLINED,0.01,USD,0,EUR,0.01,USD,STORED,312144303,23/03/2016 14:56
3638044-1458745033-102,DECLINED,9.3,EUR,9.3,EUR,31.51,TRY,3DAUTH,743-1458744984-6172-4667854,23/03/2016 14:57
3637993-1458744979-145,APPROVED,273.38,EUR,273.38,EUR,424.12,CAD,DIRECT,73-1458744979-1641-729725,23/03/2016 14:56
3637987-1458744977-102,WAITING,9.3,EUR,9.3,EUR,31.51,TRY,3D,743-1458744971-8577-4667854,23/03/2016 14:56
3637984-1458744968-224,APPROVED,22.79,EUR,22.79,EUR,3027.26,JPY,DIRECT,12-1458744967-9846-3880573,23/03/2016 14:56
3637981-1458744966-199,DECLINED,27.16,EUR,27.16,EUR,270.37,NOK,DIRECT,419-1458744966-3953-518374,23/03/2016 14:56
3638008-1458744994-264,DECLINED,29,TRY,9.02,EUR,30.6,TRY,3DAUTH,49631263,23/03/2016 14:56
3637972-1458744960-224,APPROVED,12.77,EUR,12.77,EUR,1696.27,JPY,DIRECT,12-1458744959-5635-3550862,23/03/2016 14:56
3637990-1458744979-101,APPROVED,112.48,EUR,112.48,EUR,487.8,AED,3DAUTH,99-1458744957-8664-4636459,23/03/2016 14:56
3638020-1458745007-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458744955-8071-4667850,23/03/2016 14:56
3638017-1458745006-150,APPROVED,31.05,EUR,31.05,EUR,105.2,TRY,3DAUTH,620-1458744942-8757-4133653,23/03/2016 14:56
3637954-1458744938-224,APPROVED,32.47,EUR,32.47,EUR,323.23,NOK,DIRECT,12-1458744937-6451-833411,23/03/2016 14:55
3637975-1458744965-101,APPROVED,46.57,EUR,46.57,EUR,157.78,TRY,3DAUTH,228-1458744936-4733-4391284,23/03/2016 14:56
3637948-1458744936-289,WAITING,350,TRY,350,TRY,350,TRY,3D,155921482,23/03/2016 14:55
3637942-1458744933-199,APPROVED,16.3,EUR,16.3,EUR,162.26,NOK,DIRECT,419-1458744933-0669-638288,23/03/2016 14:55
3637933-1458744922-199,APPROVED,54.32,EUR,54.32,EUR,540.74,NOK,DIRECT,420-1458744921-7667-959239,23/03/2016 14:55
3637957-1458744940-119,APPROVED,25,EUR,25,EUR,25,EUR,3DAUTH,13-1458744918-2063-2092536,23/03/2016 14:55
3637945-1458744935-216,DECLINED,12.45,EUR,12.45,EUR,42.18,TRY,3DAUTH,10-1458744911-7557-3947509,23/03/2016 14:55
3637936-1458744928-126,APPROVED,20.5,EUR,20.5,EUR,204.07,NOK,3DAUTH,47-1458744910-0566-3401063,23/03/2016 14:55
3638011-1458745002-264,APPROVED,500,TRY,500,TRY,500,TRY,3DAUTH,49631157,23/03/2016 14:56
3637915-1458744899-82,DECLINED,0.01,USD,0,EUR,0.01,USD,STORED,312144207,23/03/2016 14:54
3637939-1458744929-216,DECLINED,24.9,EUR,24.9,EUR,84.36,TRY,3DAUTH,10-1458744894-6693-349575,23/03/2016 14:55
3637918-1458744908-216,APPROVED,10.89,EUR,10.89,EUR,36.9,TRY,3DAUTH,10-1458744892-4863-62775,23/03/2016 14:55
3637906-1458744890-200,APPROVED,32.88,EUR,32.88,EUR,327.31,NOK,STORED,59-1458744889-4391-4603730,23/03/2016 14:54
3637894-1458744884-224,APPROVED,18.23,EUR,18.23,EUR,2421.54,JPY,DIRECT,12-1458744883-9673-3880573,23/03/2016 14:54
3637888-1458744873-199,DECLINED,21.73,EUR,21.73,EUR,216.32,NOK,DIRECT,419-1458744873-1498-2901794,23/03/2016 14:54
3637885-1458744867-260,APPROVED,5,EUR,5,EUR,39.32,DKK,DIRECT,1212-1458744867-2249-4667846,23/03/2016 14:54
3637882-1458744866-224,APPROVED,25.97,EUR,25.97,EUR,258.52,NOK,DIRECT,12-1458744865-9126-1626960,23/03/2016 14:54
3637903-1458744889-216,DECLINED,49.8,EUR,49.8,EUR,168.72,TRY,3DAUTH,10-1458744863-2697-4484831,23/03/2016 14:54
3637876-1458744858-126,APPROVED,10.25,EUR,10.25,EUR,102.04,NOK,DIRECT,51-1458744857-748-632594,23/03/2016 14:54
3637897-1458744884-119,APPROVED,50,EUR,50,EUR,50,EUR,3DAUTH,13-1458744857-3578-227153,23/03/2016 14:54
3637870-1458744856-216,WAITING,15.56,EUR,15.56,EUR,52.72,TRY,3D,10-1458744855-8205-4634323,23/03/2016 14:54
3637864-1458744848-224,APPROVED,36.47,EUR,36.47,EUR,4844.4,JPY,DIRECT,12-1458744847-6659-1744713,23/03/2016 14:54
3637963-1458744950-119,DECLINED,100,EUR,100,EUR,100,EUR,3DAUTH,91-1458744846-6679-3884482,23/03/2016 14:55
3637858-1458744840-261,APPROVED,32.09,EUR,32.09,EUR,319.32,NOK,DIRECT,32-1458744839-7283-1662450,23/03/2016 14:54
3637852-1458744838-224,APPROVED,27.36,EUR,27.36,EUR,3634.3,JPY,DIRECT,12-1458744838-1481-3391997,23/03/2016 14:53
3637891-1458744874-56,APPROVED,32.13,EUR,32.13,EUR,108.99,TRY,3DAUTH,30101459,23/03/2016 14:54
3637843-1458744832-224,APPROVED,269.92,EUR,269.92,EUR,2685.86,NOK,DIRECT,12-1458744831-9088-73895,23/03/2016 14:53
3637900-1458744888-237,APPROVED,1,EUR,1,EUR,1,EUR,3DAUTH,1691-1458744826-8688-4667842,23/03/2016 14:54
3637831-1458744815-119,APPROVED,50,EUR,50,EUR,497.53,NOK,DIRECT,7-1458744814-8135-666680,23/03/2016 14:53
3637846-1458744834-216,DECLINED,21.79,EUR,21.79,EUR,73.92,TRY,3DAUTH,10-1458744814-3813-4524845,23/03/2016 14:53
3637867-1458744851-216,DECLINED,21.79,EUR,21.79,EUR,73.92,TRY,3DAUTH,10-1458744813-6152-4667838,23/03/2016 14:54
3637822-1458744808-119,APPROVED,50,EUR,50,EUR,497.53,NOK,DIRECT,5-1458744808-3472-43319,23/03/2016 14:53
